--- Available filters and text transformations: colorize, debug, default, direct, esp32_exception_decoder, hexlify, log2file, nocontrol, printable, send_on_enter, time
--- More details at http://bit.ly/pio-monitor-filters
, count:160, delta_loop_time: 10, offset_y_cm from origin: 639.29, offset_x_cm for ac: -108.91
send offset to actuator, count:160, delta_loop_time: 10, offset_y_cm from origin: 639.39, offset_x_cm for ac: -108.91
send offset to actuator, count:160, delta_loop_time: 10, offset_y_cm from origin: 639.49, offset_x_cm for ac: -108.91
send offset to actuator, count:160, delta_loop_time: 10, offset_y_cm from origin: 639.59, offset_x_cm for ac: -108.91
send offset to actuator, count:160, delta_loop_time: 10, offset_y_cm from origin: 639.69, offset_x_cm for ac: -108.91
send offset to actuator, count:160, delta_loop_time: 10, offset_y_cm from origin: 639.79, offset_x_cm for ac: -108.91
send offset to actuator, count:160, delta_loop_time: 10, offset_y_cm from origin: 639.89, offset_x_cm for ac: -108.90
send offset to actuator, count:160, delta_loop_time: 10, offset_y_cm from origin: 639.99, offset_x_cm for ac: -108.90
send offset to actuator, count:160, delta_loop_time: 10, offset_y_cm from origin: 640.09, offset_x_cm for ac: -108.90
send offset to actuator, count:160, delta_loop_time: 10, offset_y_cm from origin: 640.19, offset_x_cm for ac: -108.90
send offset to actuator, count:160, delta_loop_time: 10, offset_y_cm from origin: 640.29, offset_x_cm for ac: -108.90
send offset to actuator, count:160, delta_loop_time: 10, offset_y_cm from origin: 640.39, offset_x_cm for ac: -108.90
send offset to actuator, count:160, delta_loop_time: 10, offset_y_cm from origin: 640.49, offset_x_cm for ac: -108.90
send offset to actuator, count:160, delta_loop_time: 10, offset_y_cm from origin: 640.59, offset_x_cm for ac: -108.89
send offset to actuator, count:160, delta_loop_time: 10, offset_y_cm from origin: 640.69, offset_x_cm for ac: -108.89
send offset to actuator, count:160, delta_loop_time: 10, offset_y_cm from origin: 640.79, offset_x_cm for ac: -108.89
send offset to actuator, count:160, delta_loop_time: 10, offset_y_cm from origin: 640.89, offset_x_cm for ac: -108.89
send offset to actuator, count:160, delta_loop_time: 10, offset_y_cm from origin: 640.99, offset_x_cm for ac: -108.89
send offset to actuator, count:160, delta_loop_time: 10, offset_y_cm from origin: 641.09, offset_x_cm for ac: -108.89
send offset to actuator, count:160, delta_loop_time: 10, offset_y_cm from origin: 641.19, offset_x_cm for ac: -108.89
