--- Available filters and text transformations: colorize, debug, default, direct, esp32_exception_decoder, hexlify, log2file, nocontrol, printable, send_on_enter, time
--- More details at http://bit.ly/pio-monitor-filters
, count:16, delta_loop_time: 10, offset_y_cm from origin: 29.48, offset_x_cm for ac: -54.47
send offset to actuator, count:16, delta_loop_time: 10, offset_y_cm from origin: 29.58, offset_x_cm for ac: -54.58
send offset to actuator, count:16, delta_loop_time: 10, offset_y_cm from origin: 29.68, offset_x_cm for ac: -54.69
send offset to actuator, count:16, delta_loop_time: 10, offset_y_cm from origin: 29.78, offset_x_cm for ac: -54.80
send offset to actuator, count:16, delta_loop_time: 10, offset_y_cm from origin: 29.88, offset_x_cm for ac: -54.91
send offset to actuator, count:16, delta_loop_time: 10, offset_y_cm from origin: 29.98, offset_x_cm for ac: -55.02
send offset to actuator, count:17, delta_loop_time: 11, offset_y_cm from origin: 30.28, offset_x_cm for ac: -55.12
send offset to actuator, count:17, delta_loop_time: 10, offset_y_cm from origin: 30.38, offset_x_cm for ac: -55.22
send offset to actuator, count:17, delta_loop_time: 10, offset_y_cm from origin: 30.48, offset_x_cm for ac: -55.31
send offset to actuator, count:17, delta_loop_time: 10, offset_y_cm from origin: 30.58, offset_x_cm for ac: -55.41
send offset to actuator, count:17, delta_loop_time: 10, offset_y_cm from origin: 30.68, offset_x_cm for ac: -55.50
send offset to actuator, count:17, delta_loop_time: 10, offset_y_cm from origin: 30.78, offset_x_cm for ac: -55.60
send offset to actuator, count:17, delta_loop_time: 10, offset_y_cm from origin: 30.88, offset_x_cm for ac: -55.69
send offset to actuator, count:17, delta_loop_time: 10, offset_y_cm from origin: 30.98, offset_x_cm for ac: -55.79
send offset to actuator, count:17, delta_loop_time: 10, offset_y_cm from origin: 31.08, offset_x_cm for ac: -55.88
send offset to actuator, count:17, delta_loop_time: 10, offset_y_cm from origin: 31.18, offset_x_cm for ac: -55.98
send offset to actuator, count:17, delta_loop_time: 10, offset_y_cm from origin: 31.28, offset_x_cm for ac: -56.07
send offset to actuator, count:17, delta_loop_time: 10, offset_y_cm from origin: 31.38, offset_x_cm for ac: -56.17
send offset to actuator, count:17, delta_loop_time: 10, offset_y_cm from origin: 31.48, offset_x_cm for ac: -56.26
send offset to actuator, count:17, delta_loop_time: 10, offset_y_cm from origin: 31.58, offset_x_cm for ac: -56.36
send offset to actuator, count:17, delta_loop_time: 10, offset_y_cm from origin: 31.68, offset_x_cm for ac: -56.45
send offset to actuator, count:18, delta_loop_time: 11, offset_y_cm from origin: 29.63, offset_x_cm for ac: -56.57
send offset to actuator, count:18, delta_loop_time: 10, offset_y_cm from origin: 29.73, offset_x_cm for ac: -56.67
